"id","habit_id","streak_completed_at","streak_count"
48,2,2024-11-18T07:30:00+01:00,18
49,2,2024-11-19T07:40:00+01:00,19
50,2,2024-11-20T07:30:00+01:00,20
51,2,2024-11-21T07:30:00+01:00,21
52,2,2024-11-22T07:30:00+01:00,22
53,2,2024-11-23T07:35:00+01:00,23
54,2,2024-11-24T07:40:00+01:00,24
55,2,2024-11-25T07:30:00+01:00,25
56,2,2024-11-26T07:30:00+01:00,26
57,2,2024-11-27T07:35:00+01:00,27
58,2,2024-11-28T07:40:00+01:00,28
59,2,2024-11-29T07:30:00+01:00,29
60,2,2024-11-30T07:30:00+01:00,30
61,3,2024-11-01T20:00:00+01:00,1
62,3,2024-11-02T20:05:00+01:00,2
63,3,2024-11-03T20:10:00+01:00,3
64,3,2024-11-04T20:00:00+01:00,4
65,3,2024-11-05T20:10:00+01:00,5
66,3,2024-11-06T20:20:00+01:00,6
67,3,2024-11-07T20:00:00+01:00,7
68,3,2024-11-08T20:00:00+01:00,8
69,3,2024-11-09T20:05:00+01:00,9
70,3,2024-11-10T20:10:00+01:00,10
71,3,2024-11-11T20:00:00+01:00,11
72,3,2024-11-12T20:00:00+01:00,12
73,3,2024-11-13T20:10:00+01:00,13
74,3,2024-11-14T20:00:00+01:00,14
75,3,2024-11-15T20:05:00+01:00,15
76,3,2024-11-16T20:00:00+01:00,16
77,3,2024-11-17T20:10:00+01:00,17
78,3,2024-11-18T20:00:00+01:00,18
79,3,2024-11-19T20:10:00+01:00,19
80,3,2024-11-20T20:00:00+01:00,20
81,3,2024-11-21T20:00:00+01:00,21
82,3,2024-11-22T20:00:00+01:00,22
83,3,2024-11-23T20:05:00+01:00,23
84,3,2024-11-24T20:10:00+01:00,24
85,3,2024-11-25T20:00:00+01:00,25
86,3,2024-11-26T20:00:00+01:00,26
87,3,2024-11-27T20:05:00+01:00,27
88,3,2024-11-28T20:10:00+01:00,28
89,3,2024-11-29T20:00:00+01:00,29
90,3,2024-11-30T20:00:00+01:00,30
91,4,2024-11-01T06:30:00+01:00,1
92,4,2024-11-02T06:35:00+01:00,2
93,4,2024-11-03T06:40:00+01:00,3
94,4,2024-11-04T06:30:00+01:00,4
95,4,2024-11-05T06:40:00+01:00,5
96,4,2024-11-06T06:45:00+01:00,6
97,4,2024-11-07T06:30:00+01:00,7
98,4,2024-11-08T06:30:00+01:00,8
99,4,2024-11-09T06:35:00+01:00,9
100,4,2024-11-10T06:40:00+01:00,10
101,4,2024-11-11T06:30:00+01:00,11
102,4,2024-11-12T06:30:00+01:00,12
103,4,2024-11-13T06:40:00+01:00,13
104,4,2024-11-14T06:30:00+01:00,14
105,4,2024-11-15T06:35:00+01:00,15
106,4,2024-11-16T06:30:00+01:00,16
107,4,2024-11-17T06:40:00+01:00,17
108,4,2024-11-18T06:30:00+01:00,18
109,4,2024-11-19T06:40:00+01:00,19
110,4,2024-11-20T06:30:00+01:00,20
111,4,2024-11-21T06:30:00+01:00,21
112,4,2024-11-22T06:30:00+01:00,22
113,4,2024-11-23T06:35:00+01:00,23
114,4,2024-11-24T06:40:00+01:00,24
115,4,2024-11-25T06:30:00+01:00,25
116,4,2024-11-26T06:30:00+01:00,26
117,4,2024-11-27T06:35:00+01:00,27
118,4,2024-11-28T06:40:00+01:00,28
119,4,2024-11-29T06:30:00+01:00,29
120,4,2024-11-30T06:30:00+01:00,30
121,1,2024-12-01T08:00:00+01:00,31
122,1,2024-12-02T08:15:00+01:00,32
123,1,2024-12-03T08:30:00+01:00,33
124,1,2024-12-04T08:00:00+01:00,34
125,1,2024-12-05T08:10:00+01:00,35
126,1,2024-12-06T08:20:00+01:00,36
127,2,2024-12-01T07:30:00+01:00,31
128,2,2024-12-02T07:35:00+01:00,32
129,2,2024-12-03T07:40:00+01:00,33
130,2,2024-12-04T07:30:00+01:00,34
131,2,2024-12-05T07:40:00+01:00,35
132,2,2024-12-06T07:45:00+01:00,36
133,3,2024-12-01T20:00:00+01:00,31
134,3,2024-12-02T20:05:00+01:00,32
135,3,2024-12-03T20:10:00+01:00,33
136,3,2024-12-04T20:00:00+01:00,34
137,3,2024-12-05T20:10:00+01:00,35
138,3,2024-12-06T20:20:00+01:00,36
139,4,2024-12-01T06:30:00+01:00,31
140,4,2024-12-02T06:35:00+01:00,32
141,4,2024-12-03T06:40:00+01:00,33
142,4,2024-12-04T06:30:00+01:00,34
143,4,2024-12-05T06:40:00+01:00,35
144,4,2024-12-06T06:45:00+01:00,36
145,1,2024-12-07T08:00:00+01:00,37
146,1,2024-12-08T08:00:00+01:00,38
147,1,2024-12-09T08:05:00+01:00,39
148,1,2024-12-10T08:10:00+01:00,40
149,1,2024-12-11T08:00:00+01:00,41
150,1,2024-12-12T08:00:00+01:00,42
151,1,2024-12-13T08:15:00+01:00,43
152,1,2024-12-14T08:00:00+01:00,44
153,1,2024-12-15T08:05:00+01:00,45
154,1,2024-12-16T08:00:00+01:00,46
155,1,2024-12-17T08:10:00+01:00,47
156,1,2024-12-18T08:00:00+01:00,48
157,1,2024-12-19T08:10:00+01:00,49
158,1,2024-12-20T08:00:00+01:00,50
159,1,2024-12-21T08:00:00+01:00,51
160,1,2024-12-22T08:00:00+01:00,52
161,1,2024-12-23T08:00:00+01:00,53
162,1,2024-12-24T08:10:00+01:00,54
163,1,2024-12-25T08:05:00+01:00,55
164,2,2024-12-07T07:30:00+01:00,37
165,2,2024-12-08T07:30:00+01:00,38
166,2,2024-12-09T07:35:00+01:00,39
167,2,2024-12-10T07:40:00+01:00,40
168,2,2024-12-11T07:30:00+01:00,41
169,2,2024-12-12T07:30:00+01:00,42
170,2,2024-12-13T07:40:00+01:00,43
171,2,2024-12-14T07:30:00+01:00,44
172,2,2024-12-15T07:35:00+01:00,45
173,2,2024-12-16T07:30:00+01:00,46
174,2,2024-12-17T07:40:00+01:00,47
175,2,2024-12-18T07:30:00+01:00,48
176,2,2024-12-19T07:40:00+01:00,49
177,2,2024-12-20T07:30:00+01:00,50
178,2,2024-12-21T07:30:00+01:00,51
179,2,2024-12-22T07:30:00+01:00,52
180,2,2024-12-23T07:35:00+01:00,53
181,2,2024-12-24T07:40:00+01:00,54
182,2,2024-12-25T07:30:00+01:00,55
183,3,2024-12-07T20:00:00+01:00,37
184,3,2024-12-08T20:00:00+01:00,38
185,3,2024-12-09T20:05:00+01:00,39
186,3,2024-12-10T20:10:00+01:00,40
187,3,2024-12-11T20:00:00+01:00,41
188,3,2024-12-12T20:00:00+01:00,42
189,3,2024-12-13T20:10:00+01:00,43
190,3,2024-12-14T20:00:00+01:00,44
191,3,2024-12-15T20:05:00+01:00,45
192,3,2024-12-16T20:00:00+01:00,46
193,3,2024-12-17T20:10:00+01:00,47
194,3,2024-12-18T20:00:00+01:00,48
195,3,2024-12-19T20:10:00+01:00,49
196,3,2024-12-20T20:00:00+01:00,50
197,3,2024-12-21T20:00:00+01:00,51
198,3,2024-12-22T20:00:00+01:00,52
199,3,2024-12-23T20:05:00+01:00,53
200,3,2024-12-24T20:10:00+01:00,54
201,3,2024-12-25T20:00:00+01:00,55
202,4,2024-12-07T06:30:00+01:00,37
203,4,2024-12-08T06:30:00+01:00,38
204,4,2024-12-09T06:35:00+01:00,39
205,4,2024-12-10T06:40:00+01:00,40
206,4,2024-12-11T06:30:00+01:00,41
207,4,2024-12-12T06:30:00+01:00,42
208,4,2024-12-13T06:40:00+01:00,43
209,4,2024-12-14T06:30:00+01:00,44
210,4,2024-12-15T06:35:00+01:00,45
211,4,2024-12-16T06:30:00+01:00,46
212,4,2024-12-17T06:40:00+01:00,47
213,4,2024-12-18T06:30:00+01:00,48
214,4,2024-12-19T06:40:00+01:00,49
215,4,2024-12-20T06:30:00+01:00,50
216,4,2024-12-21T06:30:00+01:00,51
217,4,2024-12-22T06:30:00+01:00,52
218,4,2024-12-23T06:35:00+01:00,53
219,4,2024-12-24T06:40:00+01:00,54
220,4,2024-12-25T06:30:00+01:00,55
